mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
82,9.8,82,35,75,90,100,10,80,879,92,511,68,75,863,266,710,192,No Tab,22,73,222,30.17156708,Male
63,6.8,66,8,50,130,70,0,0,1120,66,315,44,70,922,284,758,269,No Tab,21,68,157,24.17024215,Female
78,8.3,73,41,81,117,83,10,80,942,85,480,85,82,852,283,718,190,No Tab,22,68,175,27.30923463,Male
100,11.7,95,33,73,98,99,20,100,891,90,557,89,87,795,290,848,162,No Tab,22,70,180,25.59374321,Male
82,9.3,79,36,76,97,99,13,86,853,95,517,74,85,761,313,940,149,Tabbed,22,69,172,25.15710288,Male
78,9.5,80,31,71,121,79,11,82,1081,69,459,70,72,854,258,762,176,No Tab,22,71,199,27.045684,Male
90,11.6,94,46,86,90,100,19,98,985,80,548,90,93,802,294,800,169,No Tab,21,73,209,28.26885564,Male
82,8.5,73,34,74,110,90,7,74,1008,77,470,72,66,855,258,718,189,No Tab,24,70,215,30.62622081,Male
100,9.5,80,37,77,89,100,10,80,915,88,525,73,80,787,295,812,167,No Tab,22,70,182,24.87786981,Male
90,10.4,86,30,70,92,100,6,72,907,89,507,67,80,848,255,896,157,Tabbed,22,73,198,25.64873176,Male
62,5,62,17,63,148,66,6,72,942,85,410,42,85,879,294,804,246,No Tab,23,63,123,21.12398004,Female
64,5.7,63,18,64,146,66,1,60,1159,64,381,54,90,1001,287,780,257,No Tab,22,65,158,25.68052473,Female
64,4.6,61,12,61,138,68,0,0,951,84,338,60,80,917,298,844,236,No Tab,23,66,143,23.67944488,Female
78,9.5,80,21,65,91,100,0,0,924,87,410,69,88,764,297,768,175,No Tab,22,67,210,31.84478687,Male
64,4.7,61,25,67,108,92,13,86,813,99,469,54,104,739,358,944,198,Tabbed,22,68,146,21.94090579,Female
70,10.2,85,38,78,93,100,10,80,940,85,498,78,76,785,294,848,162,No Tab,23,72,192,25.41478848,Male
70,8.2,71,14,62,99,98,7,74,915,88,463,72,74,723,290,818,166,No Tab,21,67,145,21.97294741,Male
63,402,100,21,65,123,77,4,68,859,94,467,62,99,853,345,902,212,Tabbed,24,64,127,21.50106395,Female
86,10.6,87,33,73,97,99,10,80,922,87,512,62,82,758,286,770,174,No Tab,21,72,198,25.78094172,Male
82,9.5,80,29,69,94,100,10,80,849,95,506,70,83,779,291,824,165,No Tab,21,71,190,26.41526626,Male
82,10.1,84,23,66,86,100,16,92,846,95,519,74,85,805,293,914,154,Tabbed,23,73,193,25.25210189,Male
63,3.9,30,20,65,150,65,5,70,1143,64,357,46,79,1001,279,758,267,No Tab,22,66,142,23.01241827,Female
90,10.5,87,38,78,93,100,8,76,814,99,530,79,87,740,329,776,173,No Tab,22,73,182,24.19161685,Male
100,11.4,93,27,68,103,96,11,82,967,82,521,86,78,834,288,750,179,No Tab,21,72,181,24.59834319,Male
78,12,97,26,68,93,100,9,78,1127,66,487,72,75,842,265,758,178,No Tab,22,73,225,28.30538897,Male
62,5.1,62,14,62,147,66,8,76,843,96,424,65,88,812,350,908,210,Tabbed,23,64,131,22.01708949,Female
90,9.4,79,35,75,95,100,10,80,756,100,524,70,79,731,292,794,170,No Tab,22,66,214,33.43026998,Male
74,9.4,79,30,70,101,97,8,76,945,84,480,72,72,818,276,750,179,No Tab,22,73,200,26.63796012,Male
62,4,35,8,50,130,70,0,0,972,81,298,45,80,887,291,772,261,No Tab,20,66,146,22.12989703,Female
63,7.2,68,30,70,138,68,8,76,816,99,444,72,78,750,294,726,186,No Tab,21,69,139,19.55477009,Male
82,7.7,69,36,76,106,94,17,94,830,97,512,72,89,828,343,1000,170,Tabbed,26,66,165,25.87867268,Female
90,10.9,89,45,85,93,100,12,84,928,86,534,85,80,786,299,848,162,No Tab,22,67,214,31.84478687,Male
100,9.1,77,47,87,95,100,20,100,803,100,564,80,85,686,336,936,150,Tabbed,22,76,183,22.92125796,Male
100,12.4,99,40,80,80,100,14,88,824,98,565,86,82,764,312,968,144,Tabbed,23,71,222,30.17156708,Male
62,3.4,5,10,60,177,61,3,65,1043,74,327,59,77,946,290,804,244,No Tab,24,60,110,21.85896618,Female
90,10,83,40,80,109,91,10,80,748,100,524,100,95,722,353,914,154,Tabbed,24,71,166,23.58075217,Male
100,11.4,93,36,76,94,100,12,84,1080,69,522,72,78,759,286,818,166,No Tab,21,70,186,26.02509843,Male
65,6.2,64,3,25,126,74,0,0,1022,76,304,45,86,986,289,758,275,No Tab,23,65,164,26.84782131,Female
90,8.9,76,35,75,96,99,15,90,822,98,528,90,88,738,339,818,166,No Tab,22,72,175,23.00453261,Male
90,11.8,95,20,65,87,100,13,86,1069,71,507,75,80,879,279,740,181,No Tab,23,72,215,28.29293091,Male
100,14.6,100,46,86,84,100,19,98,911,88,572,73,83,780,286,788,171,No Tab,22,68,216,31.52037008,Male
82,10.9,89,28,69,108,92,10,80,1000,78,490,83,90,782,297,872,160,No Tab,21,68,174,26.68143614,Male
90,11.2,91,29,69,90,100,4,68,889,91,509,70,68,802,270,740,181,No Tab,22,71,205,27.31749992,Male
82,11.4,93,24,67,91,100,9,78,1003,78,498,72,80,752,311,860,161,No Tab,23,73,215,28.42514087,Male
90,9.7,81,38,78,102,97,12,84,908,89,519,69,81,787,287,788,171,No Tab,22,70,179,25.30617306,Male
82,6,64,29,69,99,98,6,72,819,98,483,68,82,789,284,758,178,No Tab,21,68,161,23.52929034,Male
78,10.8,89,26,68,93,100,13,86,854,95,516,72,88,716,296,782,172,No Tab,22,72,188,25.55069644,Male
90,9.3,79,33,73,90,100,8,76,780,100,518,86,78,717,327,824,165,No Tab,21,73,223,28.17672811,Male
62,3.6,15,18,64,129,71,0,0,996,79,291,54,77,939,288,772,263,No Tab,22,67,190,29.34957975,Female
82,8.8,75,29,69,85,100,10,80,805,100,506,87,88,740,323,818,166,No Tab,23,70,191,27.3191641,Male
82,9.5,80,45,85,88,100,15,90,913,88,525,82,81,723,324,940,149,Tabbed,22,70,169,24.86113697,Male
82,10.5,87,26,68,102,97,12,84,1072,70,488,73,79,819,287,800,169,No Tab,21,68,180,26.63693246,Male
70,9,77,30,70,125,75,9,78,955,83,453,75,82,769,299,762,177,No Tab,26,67,184,29.59873187,Male
78,10.5,87,26,68,93,100,2,62,987,80,475,67,75,812,263,718,187,No Tab,23,71,221,30.18887573,Male
90,12.5,100,49,89,93,100,20,100,958,83,562,74,71,783,278,762,176,No Tab,23,69,185,26.93289838,Male
70,6.9,67,31,71,97,99,15,90,812,99,496,69,84,732,297,908,155,Tabbed,21,66,166,26.36389779,Male
74,4.9,61,25,67,125,75,0,0,990,79,356,50,70,858,287,874,220,No Tab,26,66,153,23.38549403,Female
100,7.8,69,35,75,110,90,15,90,937,85,509,62,88,721,287,718,190,No Tab,21,68,175,25.4530688,Male
82,8.8,75,31,71,101,97,9,78,740,100,503,69,75,694,288,758,178,No Tab,22,75,190,23.29701629,Male
